rank,team,country,score
1458,ERK,Switzerland,181042
1459,Off by one,Australia,181025
1460,Dare2Trade,India,181013
1461,ETHedge,Switzerland,181001
1462,Frozenjacker,United States,180995
1463,The MATHia,United Kingdom,180983
1464,BrannerFC,United States,180971
1465,Hongbao Traders,Netherlands,180968
1466,Kalsaedi,Canada,180964
1467,LebronJames,India,180961
1468,Rome In One Day,Germany,180955
1469,Zero-Point Alpha,United States,180951
1470,QuantisLove,India,180947
1471,Northern Alpha,Canada,180940
1472,idkyettbh,United States,180939
1473,A_normal_legal_name,India,180921
1474,Prosperity Alpha,Hong Kong,180916
1475,OneOrTwo,United States,180912
1476,arjthebeast,United States,180911
1477,gold diggers,India,180907
1478,Korea,United States,180896
1479,jackhetech,United States,180889
1480,Academic Finance,United States,180878
1481,Two Sigmas,United Kingdom,180872
1482,Redbills,India,180856
1483,Null Terminator,United States,180788
1484,Millenium PnLcon,United Kingdom,180782
1485,CanDid,Australia,180778
1486,Team_Kakashi,Switzerland,180775
1487,Dare Capital,United Kingdom,180762
1488,JumpedUpCapital,Ireland,180762
1489,Mutants,India,180755
1490,HotInvest,United States,180745
1491,Solo Mooner,Hong Kong,180744
1492,finquark,India,180736
1493,Chicken and Rice,United States,180728
1494,JMC Team,United Kingdom,180723
1495,Team Glick,United States,180708
1496,DNE,Canada,180686
1497,uiuc,United States,180655
1498,Wolves of Hauz Khas,India,180633
1499,Pelosi Disciples,Canada,180621
1500,Arbitrage Astronauts,Germany,180616
1501,Cabbage Green,United States,180611
1502,Null Protocol,India,180605
1503,nexus,India,180569
1504,Chatgpt wrappers,United States,180569
1505,quantropy,United States,180566
1506,planetir,United States,180558
1507,To_Be_Decided,United States,180541
1508,Koeribean Pirates,Germany,180538
1509,Mars_Bars,Switzerland,180530
1510,Hestons Hitmen,India,180520
1511,EDHEC-UniCA,France,180512
1512,CIS 1600,United States,180502
1513,Prosper713,India,180496
1514,BabaYaga,United States,180490
1515,RiskTakersRoadRunners,United States,180486
1516,Liquidity Takers,Australia,180465
1517,Serendipity,United States,180440
1518,Void_Trading,United Kingdom,180344
1519,NADEEV ALAM,United States,180341
1520,QuantOps,Netherlands,180308
1521,Project Hail Mary,India,180257
1522,SAS,India,180249
1523,17014217,Australia,180232
1524,Shmoop Nova Corp,United States,180214
1525,Velaris,India,180208
1526,Leaky Blinders,India,180207
1527,Codeshee,United Kingdom,180206
1528,Northeastern Quants,United States,180205
1529,p-Hack Tuah,Netherlands,180200
1530,Convexity Capital,Italy,180172
1531,NFL,United States,180156
1532,CeTRL,Italy,180119
1533,Shiva X Kum,India,180111
1534,Vaneau,France,180108
1535,Team Hail Mary,India,180095
1536,Jingalala huhu,India,180084
1537,HRO Capital,United Kingdom,180041
1538,The Husky of Wall St,United States,180034
1539,Pegasus,United States,180000
1540,NoWayHome,India,179981
1541,Clankers,Australia,179966
1542,Money for Nothing,Canada,179961
1543,cosmic_trader,Italy,179961
1544,TheMonkeLovers,India,179953
1545,Aegir,United States,179953
1546,CCashiers,India,179924
1547,Ntle,United Kingdom,179918
1548,Gargantuan Nathaniel,United States,179917
1549,yamete_kudasai,India,179905
1550,Algo Astronauts,United States,179897
1551,octavegg,France,179895
1552,Breakout Squad,India,179875
1553,bee,United Kingdom,179860
1554,Macronions,United States,179858
1555,Ethz_decay,Switzerland,179854
1556,Bubble Up,India,179816
1557,Penn State Quants,United States,179810
1558,Cantaberity,United Kingdom,179804
1559,Trader From Venice,India,179783
1560,PizzaPastaMarketMaking,Italy,179781
1561,uetlibytes,Switzerland,179769
1562,Pionono PnL,Spain,179767
1563,Mangoes,United States,179757
1564,UQ FY,Australia,179708
1565,JDTrading,United States,179658
1566,In Your Atmosphere,United States,179655
1567,Anon Tokyo,China,179654
1568,egypt1,Egypt,179635
1569,Coral Capital 2,Hong Kong,179633
1570,AIS,Australia,179600
1571,War Eagle,United States,179548
1572,joooo,China,179539
1573,algogator,United States,179477
1574,Los Duros,Puerto Rico,179468
1575,BVA,United States,179467
1576,YnL,United States,179419
1577,XIREN Frankfurt Branch,Germany,179380
1578,Sojourner,Australia,179359
1579,good_guy,India,179321
1580,Its me,India,179308
1581,The Volatility Vultures,Australia,179303
1582,Double_eggs Capital,China,179242
1583,why_not,France,179235
1584,Triton Quant Trading,United States,179233
1585,blackpinkkk,South Korea,179229
1586,Only Omicron,Spain,179205
1587,Railaxed,Romania,179196
1588,BSQFxGT,Italy,179139
1589,i like math,India,179128
1590,Retired Researchers,United States,179117
1591,Pan Twardowski,Poland,179114
1592,GamblingOnly,France,179112
1593,StopLosers,Brazil,179105
1594,Shalimar,United Arab Emirates,179100
1595,Winky,Australia,179095
1596,Super Guandan King,United States,179082
1597,Quant Sun,India,179043
1598,Not Last,United Kingdom,179043
1599,galactic gains,United States,179022
1600,Plecos,United States,179014
1601,devotio,Italy,179009
1602,Columbia Fencing,United States,179001
1603,BlueByte,India,178998
1604,Delta Force,Canada,178975
1605,lebonbon,United States,178957
1606,bhsl,United Kingdom,178945
1607,Jarvis_IITM,India,178937
1608,trade sorcerers,India,178923
1609,SigmaSigmaBoy,Australia,178913
1610,Algo_goats,India,178910
1611,Please input team name,Australia,178898
1612,ByteBusters,India,178893
1613,sparrow,India,178889
1614,Plutonium,United States,178889
1615,Lynfield,New Zealand,178871
1616,HVSM,India,178869
1617,JH Trading,United Kingdom,178862
1618,Pyhron 1,Indonesia,178851
1619,The Observer,Ireland,178849
1620,Futbol Algebra,United States,178833
1621,Hala,Germany,178814
1622,Alpha Bbeta,Singapore,178792
1623,Mongorithmic Traders,Netherlands,178786
1624,Auquenidos,Peru,178724
1625,IMC Prosperity UQ,Australia,178688
1626,Scale Squad,Germany,178680
1627,Iamtring,United States,178668
1628,Mystic Fund,United States,178667
1629,GuGo,United Kingdom,178666
1630,unemployed,United Kingdom,178656
1631,teamfila,United Kingdom,178634
1632,Fibonacci,India,178634
1633,Margin Callers,Germany,178624
1634,Ad astra,Germany,178613
1635,DATA,China,178574
1636,ef ma x reece sa,Australia,178563
1637,Martin Gales Fan Club,Australia,178557
1638,IQ Arbitrage,United Kingdom,178521
1639,Pacman,Singapore,178494
1640,Three-Man Market Crash,Hong Kong,178488
1641,BanTumLum,Vietnam,178473
1642,Storm,India,178467
1643,Omega Seekers,Germany,178444
1644,Nobblers,United Kingdom,178348
1645,QRG,United States,178336
1646,TeamRookie,United States,178327
1647,Captain Heredi EgyptAir,Egypt,178320
1648,PlutusAd,United States,178299
1649,Buy Hi Sell Lo,United States,178286
1650,Reindeer,India,178286
1651,xr,United States,178245
1652,SPADE,India,178244
1653,KingTatum,United States,178238
1654,DaQuants,United States,178228
1655,LOV,Sweden,178213
1656,ABLQ,United States,178135
1657,DDSubSquad,Canada,178112
1658,Veggie Chicken Nuggets,United States,178105
1659,Infinite 88,France,178103
1660,low taper fade,India,178084
1661,Buy Low - Sell High,United Kingdom,178069
1662,Mitty Fan Club,Australia,178067
1663,fake decent,United States,178051
1664,Manchester Kampung,Malaysia,178041
1665,Dragonslayer,Vietnam,178036
1666,DreamTeam,United States,178019
1667,SaucyBeans12,United Kingdom,178015
1668,Loki,Italy,177982
1669,Alpha Lei,China,177973
1670,Project Zero,United Kingdom,177965
1671,TU Drittversuch,Germany,177961
1672,MoonWater,Germany,177950
1673,88th street,Singapore,177943
1674,Im living my life,United Kingdom,177891
1675,Apt,India,177857
1676,Blank,Antarctica,177857
1677,Flash Alpha Attention,United States,177854
1678,Alpha Not Found,United Kingdom,177818
1679,PMG Strategies,Switzerland,177811
1680,Huat Brothers,Singapore,177783
1681,Olympus,Switzerland,177765
1682,DSS,United States,177761
1683,SpaceLiz,United States,177749
1684,Adjusted_Alpha,China,177731
1685,EigenEdge,India,177705
1686,Theseus,United States,177689
1687,MARS ROVER,United States,177661
1688,Outer Ridge Capital,United Kingdom,177636
1689,Seeking_alpha,China,177594
1690,TMQ,United Kingdom,177565
1691,AftaMarmots,Poland,177461
1692,BuyHighSellLowAlways,India,177442
1693,Two Factor,Australia,177387
1694,AlcarazGoat2026,United States,177302
1695,ColourfulCandles,India,177297
1696,FTX 2,Canada,177296
1697,Buckstrdr,United Kingdom,177295
1698,Fenicja Algotraders,Poland,177268
1699,HedgeHogCafe,Switzerland,177159
1700,Five Points Trading,China,177158
1701,Does it really matter,India,177152
1702,bid-ASK,United States,177136
1703,FCFF,Australia,177117
1704,IndefinitePossibilities,Hong Kong,177090
1705,Edmund870,Singapore,177061
1706,cashcru,Canada,177044
1707,Jacobian,Germany,177033
1708,New Warham,United Kingdom,177029
1709,kekOS,Germany,177025
1710,Silent Bid,United Kingdom,177008
1711,Neanderthal,United Kingdom,177006
1712,Best Team,United States,176962
1713,schmigley,United States,176932
1714,Bogo Sort Enjoyers,Germany,176924
1715,HoneyCombo,Hong Kong,176919
1716,BroKerS_GaMbiT,India,176893
1717,SciLiGuys,United States,176889
1718,Bomba,Netherlands,176888
1719,Crispy Chicken Network,Australia,176862
1720,Control Room,India,176822
1721,Temporal Asteroid,United States,176805
1722,Cook,United States,176797
1723,MAMU,Finland,176797
1724,Vassquant,Australia,176776
1725,Where_Is_Alpha,Indonesia,176763
1726,PigameforTrading,China,176751
1727,Hanse,Germany,176670
1728,ArbitrageBoys,India,176613
1729,rjt,United States,176609
1730,CodeCrushers,India,176592
1731,JL,United Kingdom,176550
1732,TrapzTradez,United States,176514
1733,USM_Pharaoh,United States,176500
1734,rish2pf and friends,United States,176465
1735,Fan2Manga2004,Switzerland,176458
1736,2good4u,Denmark,176413
1737,Printer,Australia,176404
1738,We Like Sheep,United States,176404
1739,Outsider Trading,United Kingdom,176388
1740,Tiger Traders,United States,176387
1741,CatsAreCool,United States,176386
1742,IMKrass,Germany,176379
1743,Blame the Exchange,United States,176336
1744,A and O,United States,176329
1745,MLE,United States,176327
1746,Soul of Ecky,Netherlands,176319
1747,UCB MFE on top,United States,176307
1748,Ariel,France,176293
1749,Fig Tree Capital,Australia,176269
1750,Kunts,India,176265
1751,Monoceros,United Kingdom,176247
1752,team wonderpets,United States,176238
1753,Sigs,China,176206
1754,ComplexAdaptiveCapital,Sweden,176198
1755,Relativistic Quants,France,176168
1756,RakshitRankaGoat,India,176162
1757,Slipstream,China,176151
1758,Mazal Trading,United Kingdom,176125
1759,Blue Lotus,United Kingdom,176107
1760,bloopbear,United States,176092
1761,Warrior,India,176090
1762,AlphaSeekers,United States,176076
1763,loserpov,United States,176048
1764,Buy High Bruin,United States,176027
1765,Seven Deuce 010,Netherlands,176024
1766,TrafalgaR,Switzerland,176013
1767,Russian Roulette of 5,India,176007
1768,Python Pedagogues,Netherlands,176004
1769,IMC_GOD,India,175978
1770,Ever8,Canada,175894
1771,mi_bombo,India,175872
1772,Spartan Explorers,United States,175856
1773,Ascent,Australia,175853
1774,Zenith Galactic Vision,India,175841
1775,Maghmatic Inc,Australia,175838
1776,Made_in_Madras,India,175835
1777,Untitled,Australia,175792
1778,Greed Capital,India,175739
1779,Gravity Arbitrage,France,175683
1780,80 20 Arbitrage,United Kingdom,175597
1781,i Labs,India,175580
1782,UncarvedBlock,Germany,175561
1783,Probably Accurate Trade,Germany,175538
1784,IMCooked,United Kingdom,175536
1785,ProsperityGospel,United States,175534
1786,AmsterdamToZurich,Netherlands,175518
1787,Space Invaders,Canada,175515
1788,quantbound fr,United States,175498
1789,Hello World,Australia,175496
1790,trade tuah,India,175489
1791,B_Xman,United States,175447
1792,team awesomesauce,United Kingdom,175439
1793,The Sole Seminole,United States,175436
1794,DowAt50000,United States,175396
1795,Little Apple Legends,United States,175378
1796,Astrophage,India,175345
1797,Whirlpool,India,175343
1798,Mates Datos,Spain,175342
1799,Mavericks1,United States,175303
1800,TiceniTs,India,175301
1801,Salt,India,175256
1802,Diddlers,United Kingdom,175241
1803,Wolves of Western Co,Canada,175241
1804,Quantara,Portugal,175219
1805,Laxmi Chit Fund,United States,175186
1806,Claviculars,Italy,175166
1807,Three Sigma,United States,175152
1808,Pokerspine,Singapore,175095
1809,Asymmetry Engine,Germany,175065
1810,op3ntrad3r,India,175054
1811,Martian Money Man,Switzerland,175025
1812,Simplex,Spain,175018
1813,Paris,France,175008
1814,SpaceQuants,United States,174976
1815,trading_goats,United States,174971
1816,Intergalactic Fuets,Spain,174956
1817,AVAA,India,174874
1818,Unemployment,India,174873
1819,Quant7274,United Kingdom,174798
1820,LarpAreUs,United Kingdom,174794
1821,Brown Bear,United States,174786
1822,Shahi_Tukde,India,174765
1823,Clover,India,174724
1824,Alpha Heist,India,174712
1825,pom_pom_purin,United States,174696
1826,ALJ,Australia,174688
1827,Almaty Lake Capital,Hong Kong,174669
1828,Lazarus Mission,Canada,174656
1829,Moonbase,Canada,174608
1830,Sunlife,United States,174589
1831,Chunky Churros,Australia,174557
1832,Trick or Trade,Australia,174538
1833,Sigma Capital,United Kingdom,174416
1834,WinBigTonight,Hong Kong,174404
1835,Hull R178,United Kingdom,174387
1836,Brown Tigers,United States,174382
1837,Daw,Canada,174381
1838,Quant Quasars,India,174343
1839,TeamBharat,India,174331
1840,Lyari,India,174329
1841,KittyKittyMeowMeow,United States,174317
1842,Tron Foundation,Hong Kong,174290
1843,LunarQuery,India,174288
1844,AlphaStockGrookers,Switzerland,174275
1845,we like trains,Pakistan,174257
1846,CMU Civil Engineers,United States,174251
1847,2Delta,United States,174207
1848,i like pi,Vietnam,174181
1849,momentum,United States,174170
1850,Durham Dark Pool,United Kingdom,174156
1851,nemo,India,174153
1852,Up1000Percent,Australia,174106
1853,State Space Time,United States,174101
1854,Sneaky,United States,174060
1855,Penny Jeeters,Canada,174058
1856,RHDV,United Kingdom,173976
1857,Ulica Janiny,Poland,173974
1858,Directionless,India,173949
1859,EFDS_with_FeBreeze,United Kingdom,173930
1860,ArcticBanana,United States,173921
1861,trader_sail,India,173910
1862,Chary Fanclub,India,173903
1863,infinite_money_glitch,India,173886
1864,sufiyana,Austria,173876
1865,Paddi,Germany,173846
1866,Vegaisdead,United States,173826
1867,SoloNode,United States,173795
1868,Uravol,United States,173772
1869,Licata Arbitrage,France,173753
1870,Archegos capital,Australia,173745
1871,BigMoneyStonks,Austria,173731
1872,Pixelers,Australia,173636
1873,Iamdoingmypart,Hong Kong,173634
1874,AlphaXY,India,173628
1875,LiterallyLeray,United States,173610
1876,Brownian Bandits,India,173549
1877,Chill team,United States,173532
1878,teamName,United States,173521
1879,Kriishiv,India,173512
1880,Market Maxxing,France,173505
1881,Maverickanos,India,173462
1882,Cascade24,Germany,173422
1883,Si los deja unanse aqui,Mexico,173416
1884,Rayquantza,India,173406
1885,Quantzillion,Pakistan,173393
1886,Five of a Kind,Ireland,173375
1887,2938819,Canada,173353
1888,Team Aether,United States,173339
1889,QuattroFormaggio,United States,173303
1890,Rising Assets,Australia,173289
1891,Hedger_Gambit,India,173282
1892,Tanay Sodha,India,173278
1893,UCLA Jain Street,United States,173259
1894,Gundaraj,India,173245
1895,Leverage Legends,Switzerland,173219
1896,WeAreTheAlphas,Hong Kong,173201
1897,Bridge789,Romania,173169
1898,frankoshen,Australia,173158
1899,Kilonovae,Mexico,173123
1900,K-Jobhunter,South Korea,173108
1901,Margin Callerz,India,173105
1902,Eregion,United Kingdom,173094
1903,Scout_Regiment,United States,173071
1904,the trader joes,United Kingdom,173062
1905,SurfaceAlpha007,Canada,173047
1906,pepo,France,173009
1907,The Combine,United States,172981
1908,MSCF,United States,172974
1909,Debian Enjoyers,United Kingdom,172955
1910,Tomato Cartel,Spain,172949
1911,Kratos,India,172949
1912,Rogue,United States,172925
1913,Rocks,Australia,172915
1914,Gotham Alpha Seeker,United States,172891
1915,Terrestrial Traders,United States,172865
1916,Order Book Oracles,United States,172861
1917,CIA Trading,United States,172851
1918,Lizard,Taiwan,172849
1919,Drawdown traders,India,172841
1920,TradeX,France,172772
1921,Lazy_coders,India,172716
1922,Appaloosa Capital,Sweden,172696
1923,Div,India,172675
1924,Tall,Australia,172652
1925,Bubatzbuben,Germany,172615
1926,New_File2,Hong Kong,172574
1927,GSTD,France,172494
1928,Algebruhs,Romania,172465
1929,1234tNite,United Kingdom,172459
1930,LF23,United States,172445
1931,My_Planet2,China,172441
1932,MercurysLittleBrother,Switzerland,172413
1933,Hoth,United States,172412
1934,Lazyology,United States,172406
1935,Idonthedge,Switzerland,172399
1936,AAAAaaAAAA,United States,172396
1937,Yuzzination,United States,172368
1938,Gravity Well,United States,172361
1939,LLBEAN,United States,172290
1940,OG-Traders,Germany,172288
1941,Snow,United States,172280
1942,Nah Id Hedge,United States,172275
1943,BODO2026,United States,172270
1944,Hyde Park Liquidity,United States,172222
1945,Lions,United States,172139
1946,NYU Alpha Wolvez,United States,172078
1947,Kensai Trading,Canada,172077
1948,Alistairj,United Kingdom,172033
1949,Arlberg Quants,Switzerland,172007
1950,Quant Crushers,India,171972
1951,Allium tuberosum,United States,171858
1952,HOW,United Kingdom,171801
1953,oil merchants,Singapore,171760
1954,monkeys,United States,171710
1955,UQ_QUT,Australia,171703
1956,SoanPapdi,India,171694
1957,Sine Me Up,Indonesia,171684
1958,Sellestial Bodies,India,171672
1959,PolymarkETH Veteran,Germany,171669
1960,bacca burrito,United States,171605
1961,Goose Capital,United States,171574
1962,a_dissipative_structure,India,171568
1963,Dream Seekers,China,171563
1964,Bull_Squared,Netherlands,171531
1965,QQQ,Hong Kong,171515
1966,Compiled at dawn,Australia,171497
1967,Meth Lab,Netherlands,171450
1968,Apollo 1,United Kingdom,171449
1969,Prime Signals,United Kingdom,171436
1970,TestTerp,United States,171394
1971,Triple T,Australia,171387
1972,Galaxy traders,Netherlands,171371
1973,Beta Have Fun,India,171367
1974,ChipiChipi ChapaChapa,India,171321
1975,Quant Rats,Spain,171296
1976,PatientMagicians,India,171289
1977,Team Apollo - Rotterdam,Netherlands,171235
1978,Big Bang Theory,Netherlands,171214
1979,Team 88,Bulgaria,171207
1980,VolaLens,Germany,171180
1981,Tomorrow Capital,United Kingdom,171037
1982,CosmicBull,India,171034
1983,teamNameNotFound,India,170992
1984,Chile alpha,Chile,170982
1985,HalfnHalf,Australia,170944
1986,a song of ice and fire,South Korea,170863
1987,Employed and BurntOut,Bulgaria,170845
1988,Alpha Centauri SL,China,170839
1989,CAGR paglus,India,170831
1990,Captain Rhinoceros,United States,170764
1991,A Great Planet,United States,170763
1992,Fluttershy,United Kingdom,170756
1993,BostonU Future Quants,United States,170747
1994,Mathematical EV,Australia,170734
1995,Queen Marika,India,170702
1996,UCDCha,Ireland,170657
1997,Gamma IQT,United States,170645
1998,kai,Australia,170627
1999,Visible Hand,Czech Republic,170579
2000,Connoisseur Technology,Australia,170575
2001,Team name already exist,United States,170546
2002,Rainmakers,Italy,170536
2003,hash Fx6,Singapore,170522
2004,Kyiv Pandas,Ukraine,170501
2005,aunix47,India,170478
2006,Azure Grove,United States,170460
2007,Bluebook,India,170444
2008,Nikinik,Slovakia,170430
2009,TA,Vietnam,170429
2010,oh hello,Canada,170407
2011,InsomniacOwl,India,170406
2012,Legend_AJU,China,170389
2013,Spacetime,India,170377
2014,Zero Bugs Given,Netherlands,170368
2015,BattiGang,India,170366
2016,OP People,India,170366
2017,Nitro,India,170359
2018,Risk-Seeking Investor,United States,170331
2019,Sturgeon,China,170323
2020,Palante,Belgium,170318
2021,KVTradinator,India,170267
2022,Buy low Sell lower,Canada,170210
2023,Team Delta Method,Netherlands,170161
2024,Enigma,Switzerland,170123
2025,Piggies,New Zealand,170120
2026,Bricked-up Boyz,India,170101
2027,Katana Lab,United Arab Emirates,170089
2028,FloridaManSpaceProgram,United States,170083
2029,myf,United States,170079
2030,Estimathon,United States,170051
2031,ansel2shiftyy,Canada,170048
2032,HuisTrade,United Kingdom,170046
2033,redmond,United States,170015
2034,Shevchenko,United States,170012
2035,Traders_1410,India,170005
2036,Astra Edge,India,169964
2037,MagnumOpus,Turkey,169947
2038,StarDance,India,169942
2039,Data Dominators,United States,169935
2040,big-O-Rathi,India,169933
2041,Alpine,United Kingdom,169930
2042,TryBest,China,169928
2043,Team Up,United Kingdom,169898
2044,loong,Australia,169894
2045,Gallipoli,Turkey,169843
2046,Greenhorn,Australia,169843
2047,trident,United Kingdom,169836
2048,5ive Music,United Kingdom,169799
2049,Selwinners,United Kingdom,169785
2050,GTJMD securities,Australia,169759
2051,Divine Trader,India,169744
2052,FireBall,France,169729
2053,Hail Falk,United States,169687
2054,Bearcat Mission Beta,United States,169675
2055,Delta3,India,169674
2056,El Kouhen Capital,France,169672
2057,tendies,Canada,169661
2058,IMPERIA,France,169636
2059,Romaniegas Quants,Spain,169631
2060,VectorNinjas,United Kingdom,169619
2061,MandP,Thailand,169615
2062,graouuully,France,169584
2063,NYU-Mathfin,United States,169546
2064,Cashfecta,Switzerland,169538
2065,Teen Titans Go,Australia,169525
2066,Doraemon_Sinchan,India,169506
2067,TradersatNantucket,Antarctica,169485
2068,2BD,Ireland,169474
2069,TouchingGrass,Australia,169434
2070,Spice Lords,India,169410
2071,Vadanakin,United States,169407
2072,Bryce,Australia,169394
2073,Breaking XIRECords,United Kingdom,169352
2074,Scooby,Switzerland,169323
2075,Comodor,United States,169293
2076,Full_Metal_Alchemists,United States,169285
2077,northwestern,United States,169262
2078,Athena Systems,France,169240
2079,Interstellaire Handelar,India,169236
2080,Rif Capital,United States,169229
2081,LLLL,India,169220
2082,Nordic Quants,Denmark,169211
2083,kontrol,Italy,169193
2084,MartinSu,United States,169112
2085,LesBretons,France,169083
2086,pa,United States,169076
2087,mexblex,United States,169073
2088,Nothing but beta,United States,168982
2089,buy_high_sell_low_gang,India,168977
2090,Andreas Chignola-Torres,Australia,168972
2091,Alpha_Hunters,China,168935
2092,Lasagna Capital,Italy,168928
2093,PherbySoloSideQuest,Morocco,168855
2094,START TODAY,Australia,168830
2095,Intergalactic Arbitrage,United Kingdom,168818
2096,Pikachu,India,168792
2097,X_X,Germany,168771
2098,Lumen,India,168744
2099,Liam,Sweden,168735
2100,Les Tuzz,France,168726
2101,We ran up them digits,United Kingdom,168680
2102,Epsilon Indi,Poland,168655
2103,J0k3rB0y5,India,168648
2104,Babylon,United States,168629
2105,ITERATIVE BYTES,India,168598
2106,FireworksnMarshmellows,Australia,168584
2107,Alex Team,United Kingdom,168526
2108,DIVE into ALPHA,Hong Kong,168519
2109,LoneAstronaut,Croatia,168518
2110,Plus Ultra,Estonia,168512
2111,Sol Invictus,France,168489
2112,Finviders,France,168487
2113,The Axe Fund,United Arab Emirates,168476
2114,BK rules,Netherlands,168475
2115,MOLA,Spain,168410
2116,Trying_again,India,168405
2117,OrangeArmy,United States,168384
2118,MegaKnight,Germany,168376
2119,The Tarnished,Canada,168305
2120,DissaTrade,Hong Kong,168299
2121,Trader X,Switzerland,168295
2122,qw,United Kingdom,168290
2123,Knight Capital,Hungary,168274
2124,discovery_one,United States,168267
2125,Inferno,United States,168265
2126,Part III,United Kingdom,168214
2127,Team_Fluid,Italy,168185
2128,Doolysaurus Huhmini,United States,168168
2129,UChicago Touse,United States,168154
2130,Skatter,Denmark,168099
2131,Prosper_Golf_Romeo,India,168098
2132,BX DIX,France,168066
2133,OneTime,Romania,168041
2134,VulcansHammer,United States,168031
2135,eventhorizon,Australia,168022
2136,NFTT,India,168020
2137,Kernel,United States,168000
2138,Tagereyons,India,167973
2139,JSAMP,United States,167969
2140,Emet,United States,167947
2141,Tom Yum,United States,167923
2142,Aspiring Marketmakers,India,167896
2143,Lazy and Curious,India,167894
2144,Insight Trader,India,167871
2145,Pi,India,167821
2146,Solo Dude,India,167815
2147,Emergence,United Arab Emirates,167772
2148,MonteCarLone,Belgium,167732
2149,HERO X,India,167720
2150,troppydash,New Zealand,167684
2151,Team Zhejiang,China,167677
2152,Transition,United States,167673
2153,Code Slashers,Poland,167589
2154,Tradineers,Germany,167571
2155,milk duds,United States,167557
2156,Freson,Spain,167503
2157,Andorrita,Andorra,167494
2158,ZK Shaw,Denmark,167479
2159,variance,United States,167459
2160,NotBadNotGreat,Australia,167420
2161,Bacon,France,167403
2162,Corp Inc,Netherlands,167369
2163,raichu,India,167363
2164,awmlet,Canada,167358
2165,Black Bulls,India,167349
2166,Alpha Axiom,India,167342
2167,Solo42,India,167340
2168,coca cola cherry,United Kingdom,167338
2169,mc,Singapore,167317
2170,Outsiders,Switzerland,167311
2171,ALGO_TRADE,India,167301
2172,algo_alchemists,India,167289
2173,Alphaalgo,India,167264
2174,Practice_coder,India,167250
2175,Big Eepers,United States,167219
2176,Reza,United Kingdom,167213
2177,Solo leveling,India,167185
2178,WWW,United States,167183
2179,SHADOW-RTX,India,167167
2180,FR Capital,Canada,167153
2181,Alpha4,Germany,167144
2182,Noideaaboutteamname,United Kingdom,167112
2183,FrankfurtSaints,Germany,167082
2184,Greystone,United States,167046
2185,daemons,India,167042
2186,Shadow Operatives,Netherlands,167012
2187,very very good team,India,167009
2188,Warwick Duo Yessir,United Kingdom,166995
2189,MasterTraders,United Kingdom,166991
2190,TUM,Germany,166972
2191,Pussieboies,Switzerland,166968
2192,Persephones,Romania,166960
2193,IM SMURFIN BTW,Canada,166942
2194,Diamond Dogs,United Kingdom,166929
2195,AttnAlgo,India,166910
2196,oracle,France,166900
2197,Laser Focused,United Kingdom,166891
2198,Hail Not Merry,India,166877
2199,Always Short,United States,166876
2200,tax fraud,India,166870
2201,Public Health Committee,United States,166868
2202,Bird People Village,United Kingdom,166868
2203,Meowest,United States,166860
2204,WQC,Canada,166856
2205,25 din me paisa double,India,166836
2206,GNCL Labs,United States,166815
2207,Ziahngyab,China,166808
2208,Dodge_ram,India,166800
2209,JaineStreet,India,166797
2210,AlphaCheese,France,166790
2211,trying_out_trading,India,166776
2212,AlgoRhythms,India,166764
2213,Toaster,India,166760
2214,TradeOrLose,India,166755
2215,ETrading,France,166751
2216,LMquant,France,166734
2217,El School,Australia,166729
2218,SIGNAL CARTEL,India,166719
2219,welovestonks,India,166621
2220,liquid death,United States,166617
2221,Arbitrash,India,166616
2222,Iamalone,India,166600
2223,Midas,India,166567
2224,oakvale,India,166560
2225,SignalSeekers,India,166533
2226,Tridentinus Capital,United States,166532
2227,Billionaire Boys Club,United Kingdom,166529
2228,LXIX,United States,166489
2229,BlackSwan,Singapore,166471
2230,The Three Algoteers,United Kingdom,166471
2231,Xtraders,Mexico,166452
2232,Nyx,United Kingdom,166451
2233,Chinese Chitia,India,166425
2234,Alpha Dogs,United States,166378
2235,Crazy Poor Asians,United Kingdom,166358
2236,KO-KO Quants 2026,Poland,166344
2237,casablanca,India,166323
2238,Supertramp,India,166314
2239,St Vernier,United States,166285
2240,maryland_uiuc,United States,166272
2241,object Object,United Kingdom,166266
2242,MP123,China,166262
2243,Dachshund Traders,United States,166176
2244,HSSC,United Kingdom,166150
2245,Trikala,India,166148
2246,AstroQuant179,United Kingdom,166130
2247,broke boys,India,166100
2248,profesor jagus,Poland,166035
2249,Trade wolves,India,166003
2250,Drag0n of Loowater,Canada,165992
2251,MC Squared,United States,165986
2252,FC Arb,United States,165956
2253,WeLoveWomen,United States,165936
2254,FlashTraders,India,165932
2255,UM,Australia,165930
2256,raur,Canada,165912
2257,Discovering,France,165871
2258,Gump Squad,United States,165769
2259,bangkokparticipator,Thailand,165768
2260,The Green Book,United Kingdom,165761
2261,neXaQuant,United States,165759
2262,Jetta,Canada,165757
2263,WLOG,Switzerland,165752
2264,ExSpace,Netherlands,165743
2265,Takoradi Asafo,United Kingdom,165732
2266,whales,United States,165712
2267,Our Team Name,France,165705
2268,51PegasibCapital,Switzerland,165660
2269,Syntax Errors,India,165652
2270,Overdrive,Moldova,165651
2271,Golemites,Malaysia,165647
2272,degeneratemaxx,India,165614
2273,BrasilX,France,165611
2274,The Dark Forest,United States,165557
2275,KTV Finance,India,165458
2276,CNL,Romania,165457
